Programa de trabalho;PTRES;Dotação Inicial
12363203186520100;70321;260000
12363203186527000;70322;400000
12364203186520100;68145;30000000
12364203200480000;61631;500000
12364203200480000;70324;4000000
12364203200480000;70325;200000
12364203200480000;70326;200000
12364203200480000;70327;300000
12364203200480000;70328;200000
12364203200480000;70329;600000
12364203200480000;70330;700000
12364203200480000;70331;5000000
12364203200480000;70332;300000
12364203200480000;70333;300000
12364203200480100;70334;350000
12364203200480100;70335;2350000
12364203200480100;70336;200000
12364203200480100;68146;200000
12364203200480700;70337;250000
12364203200481400;70338;180000
12364203200482000;70339;400000
12364203200482100;70340;200000
12364203200482300;70341;1200000
12364203200484900;70342;200000
12364203200485200;70343;350000
12364203200485600;70344;500000
12364203200487000;70345;150000
12364203200487000;70346;450000
12364203200487000;70347;350000
12364203200487000;70348;300000
12364203200487000;70349;200000
12364203200487000;70350;300000
12364203200487000;70351;400000
12364203200487000;70352;250000
12364203200487000;70353;1800000
12364203200487000;70354;200000
12364203200487000;70355;500000
12364203200487000;70356;150000
12364203200487000;70357;250000
12364203200487000;70358;200000
12364203200487000;70359;500000
12364203200487000;70360;300000
12364203200487000;70361;1000000
12364203200487000;70362;500000
12364203200487000;70363;500000
12364203200487000;70364;500000
12364203200487000;70365;200000
12364203200487000;70366;100000
12364203200487000;70367;100000
12364203200487100;70368;550000
12364203200487100;70369;1000000
12364203200487100;70370;200000
12364203200487100;70371;300000
12364203200487100;70372;800000
12364203200487100;70373;950000
12364203200487100;70374;200000
12364203200487100;70375;200000
12364203200487100;70376;720000
12364203200487100;70377;300000
12364203200487100;70378;200000
12364203200487100;70379;400000
12364203200487100;70380;300000
12364203200487100;70381;300000
12364203200487100;70382;1250000
12364203200487100;70383;200000
12364203200487100;70384;2000000
12364203200487100;70385;2000000
12364203200487100;70386;200000
12364203200487100;70387;100000
12364203200487100;70388;300000
12364203200487100;70389;500000
12364203200487100;70390;1000000
12364203200487100;70391;500000
12364203200487100;70392;20000000
12364203200487100;70393;25000000
12364203200487100;70394;21606827
12364203200487100;70395;15000000
12364203200487100;70396;15476621
12364203200487100;70397;23187665
12364203200487100;70398;23500000
12364203200487100;70399;10000000
12364203200487100;70400;24000000
12364203200487100;70401;500000
12364203200487100;70402;85547120
12364203200487100;70403;1984200000
1236420320A120001;70323;392500000
12365203012KU0001;61655;60000
12365203012KU0101;68152;453200000
12365203020RV0001;61632;74450000
12365210920100100;61586;136500000
12366203009200000;61587;288000000
1236620300A260001;61633;644000000
1236620302A950001;61634;1168600000
12366203087900000;61588;93090000
12368203009690000;61589;100000
12368203012KV0001;61654;22406827
12368203012KV0101;68153;750000
12368203020RF0001;61635;5395000
12368203020RF0017;70404;4000000
12368203020RF0024;70405;1550000
12368203020RF0032;70406;100000
12368203020RF0041;70407;500000
12368203020RF0042;70408;2000000
12368203020RF0043;70409;200000
12368203020RF0052;70410;500000
12368203020RF0101;68147;200000
12368203020RF0286;70411;400000
12368203020RF1392;70412;10987665
12368203020RF3577;70413;20020600
12368203020RF4924;70414;309050000
12368203020RF5512;70415;90000000
12368203020RF7000;70416;1547590000
12368203020RF7002;70417;500000
12368203020RJ0001;61650;3000000
12368203020RO0001;61636;356524
12368203020RP0001;61648;790000
12368203020RP0001;61651;3000000
12368203020RP0001;70418;5500000
12368203020RP0015;70419;3370000
12368203020RP0016;70420;500000
12368203020RP0017;70421;4700000
12368203020RP0021;70422;2000000
12368203020RP0023;70423;2100000
12368203020RP0024;70424;1000000
12368203020RP0025;70425;19333000
12368203020RP0026;70426;4000000
12368203020RP0027;70427;12870000
12368203020RP0028;70428;9450000
12368203020RP0029;70429;4150000
12368203020RP0031;70430;2950000
12368203020RP0032;70431;4130000
12368203020RP0033;70432;500000
12368203020RP0035;70433;4000000
12368203020RP0041;70434;4250000
12368203020RP0042;70435;6250000
12368203020RP0043;70436;900000
12368203020RP0050;70437;770000
12368203020RP0051;70438;250000
12368203020RP0052;70439;400000
12368203020RP0053;70440;17045000
12368203020RP0054;70441;20000000
12368203020RP0101;68148;24000000
12368203020RP0166;70442;200000
12368203020RP0252;70443;200000
12368203020RP0397;70444;700000
12368203020RP0402;70445;1000000
12368203020RP0711;70446;500000
12368203020RP0981;70447;2100000
12368203020RP1632;70448;500000
12368203020RP1654;70449;300000
12368203020RP1674;70450;300000
12368203020RP1689;70451;2600000
12368203020RP1693;70452;200000
12368203020RP1695;70453;300000
12368203020RP1795;70454;250000
12368203020RP2024;70455;5000000
12368203020RP2237;70456;340000
12368203020RP2261;70457;500000
12368203020RP2879;70458;1600000
12368203020RP2992;70459;1000000
12368203020RP3008;70460;300000
12368203020RP3166;70461;4000000
12368203020RP3221;70462;500000
12368203020RP3274;70463;500000
12368203020RP3282;70464;600000
12368203020RP3283;70465;4800000
12368203020RP3296;70466;850000
12368203020RP3298;70467;500000
12368203020RP3301;70468;2300000
12368203020RP3305;70469;500000
12368203020RP3316;70470;1000000
12368203020RP3321;70471;300000
12368203020RP3329;70472;350000
12368203020RP3334;70473;300000
12368203020RP3346;70474;500000
12368203020RP3360;70475;1000000
12368203020RP3430;70476;250000
12368203020RP3525;70477;1000000
12368203020RP3843;70478;300000
12368203020RP4732;70479;100000
12368203020RP4925;70480;500000
12368203020RP4994;70481;500000
12368203020RP4996;70482;2000000
12368203020RP5144;70483;500000
12368203020RP5230;70484;250000
12368203020RP5449;70485;1000000
12368203020RP7002;70486;260000
12368203020RP7004;70487;2600000
12368203020RP7006;70488;2300000
12368203020RP7008;70489;200000
12368203020RP7012;70490;200000
12368203020RP7014;70491;200000
12368203020RP7016;70492;1200000
12368203020RP7018;70493;200000
12368203020RP7020;70494;250000
12368203020RP7022;70495;1500000
12368203020RP7024;70496;300000
12368203020RP7026;70497;400000
12368203020RP7028;70498;500000
12368203020RP7030;70499;500000
12368203020RP7032;70500;3000000
12368203020RP7034;70501;1500000
12368203020RP7036;70502;5000000
12368203020RP7038;70503;2200000
12368203020RP7040;70504;1200000
12368203020RP7042;70505;250000
12368203020RP7044;70506;500000
12368203020RP7046;70507;500000
12368203020RP7048;70508;260000
12368203020RP7050;70509;3750000
12368203020RP7052;70510;400000
12368203020RP7054;70511;960000
12368203020RP7056;70512;1500000
12368203020RP7058;70513;300000
12368203020RP7060;70514;500000
12368203020RP7062;70515;400000
12368203020RP7064;70516;400000
12368203020RP7066;70517;400000
12368203020RP7068;70518;700000
12368203020RP7070;70519;10100000
12368203020RP7076;70520;13400000
12368203020RP7078;70521;10000000
12368203020RP7080;70522;1981200000
12368203020RP7082;70523;10000000
12368203020RP7084;70524;15000000
12368203020RP7086;70525;250000
12368203020RP7090;70526;7250000
12368203020RP7092;70527;8600000
12368203020RQ0001;61637;5000000
12368203020RR0001;61638; 
12368203020RS0001;61639;748845717
12368203020RS0032;70528;800000
12368203020RT0001;61640;3150000
12368203020RU0001;61641;1500000
12847203000FA0001;61642;3990000
12847203000FA0101;68150;110000
12847203005090000;61643;2100000
12847203005090000;70559;400000
12847203005090000;70560;3150000
12847203005090000;70561; 
12847203005090000;70562;1000000
12847203005090000;70563;250000
12847203005090000;70564;1000000
12847203005090000;70565;250000
12847203005090000;70566;100000
12847203005090300;68151;720000
12847203005091600;70567;800000
12847203005091700;70568;900000
12847203005091700;70569;250000
12847203005092000;70570;100000
12847203005092700;70571;2000000
12847203005093200;70572;700000
12847203005093300;70573;10000000
12847203005093300;70574;140000
12847203005093900;70575;100000
12847203005093900;70576;150000
12847203005097000;70577;1000000
12847203005097000;70578;100000
12847203005097000;70579;100000
12847203005097000;70580;1000000
12847203005097000;70581;1500000
12847203005097000;70582;20000000
12847203005097000;70583;21606827
12847203005097000;70584;20000000
12847203005097000;70585;50000000
12847203005097000;70586;2337834300
12847203005097000;70587;10745889355
12847203005097000;70588;79200000
12847203005097000;70589;400000000
12847203005097000;70590;26574121
12847203005150000;61624;1000000
12847203005150000;61626;800000
1,79769313486232E+308;61590;4000000
1,79769313486232E+308;61649;48000000
1,79769313486232E+308;61652;21606827
1,79769313486232E+308;70529;6000000
1,79769313486232E+308;70530;1000000
1,79769313486232E+308;70531;450000
1,79769313486232E+308;70532;49521862
1,79769313486232E+308;70533;1900000
1,79769313486232E+308;70534;13157703
1,79769313486232E+308;70535;6120000
1,79769313486232E+308;70536;30051080
1,79769313486232E+308;70537;550000
1,79769313486232E+308;70538;3450000
1,79769313486232E+308;70539;19389395
1,79769313486232E+308;70540;100000
1,79769313486232E+308;70541;300000
1,79769313486232E+308;70542;250000
1,79769313486232E+308;70543;250000
1,79769313486232E+308;70544;300000
1,79769313486232E+308;70545;180000
1,79769313486232E+308;68149;400000
1,79769313486232E+308;70546;300000
1,79769313486232E+308;70547;184000
1,79769313486232E+308;70548;150000
1,79769313486232E+308;70549;3000000
1,79769313486232E+308;70550;800000
1,79769313486232E+308;70551;200000
