UF;Cód Órgão;Cód Mesoregião;IBGE;Nome do Município
MT;1;1;5100250;Alta floresta
MT;;;5102793;Carlinda
MT;;;5106158;Nova Bandeirantes
MT;;;5100805;Apiacás
MT;;;5106216;Nova Canãa do Norte
MT;;;5108956;Nova Monte Verde
MT;;;5106299;Paranaita
MT;;2;5100201;Agua boa
MT;;;5101001;Araguaiana
MT;;;5101803;Barra do Garças
MT;;;5102603;Campinápolis
MT;;;5102702;Canarana
MT;;;5103106;Cocalinho
MT;;;5103908;General Carneiro
MT;;;5106174;Nova Nazaré
MT;;;5106257;Nova Xavantina
MT;;;5106281;Nova São Joaquim
MT;;;5106653;Pontal do Araguaia
MT;;;5106703;Ponte Branca
MT;;;5107065;Querência
MT;;;5107180;Ribeirão Cascalheira
MT;;;5107198;Ribeirãozinho
MT;;;5108204;Torixoréu
MT;;3;5102504;Cáceres
MT;;;5103437;Curvelândia
MT;;;5103957;Glória D'Oeste
MT;;;5104500;Indiavaí
MT;;;5105234;Lambari D'Oeste
MT;;;5105622;Mirassol D'Oeste
MT;;;5106828;Porto Esperidião
MT;;;5107156;Reserva do Cabaçal
MT;;;5107206;Rio Branco
MT;;;5107750;Salto do Céu
MT;;;5107107;São José dos Quatro Marcos 
MT;;4;5102694;Canabrava do Norte
MT;;;5103353;Confresa
MT;;;5106778;Porto Alegre do Norte
MT;;;5107750;Santa Cruz do Xingu
MT;;;5107776;Santa Teresinha
MT;;;5107354;São José do Xingu
MT;;;5108600;Vila Rica
MT;;5;5100102;Acorizal
MT;;;5101605;Barão de Mergaço
MT;;;5103007;Chapada dos Guimaraes
MT;;;5103403;Cuiabá
MT;;;5104906;Jangada
MT;;;5106109;Nossa Senhora do Livramento
MT;;;5106208;Nova Brasilândia
MT;;;5106455;Planalto da Serra
MT;;;5106505;Poconé
MT;;;5107800;Santo Antônio do levenger
MT;;;5108402;Várzea Grande
MT;;6;5100508;Alto Paraguai
MT;;;5101308;Arenópolis
MT;;;5103502;Diamantino
MT;;;5105903;Nobres
MT;;;5106000;Nortelândia
MT;;;5108857;Nova Marilândia
MT;;;5108907;Nova Maringá
MT;;;5106224;Nova Mutum
MT;;;5107701;Rosário do Oeste
MT;;;5107768;Santa Rita do Trivelato
MT;;;5107263;Santo Afonso
MT;;;5107305;São José do Rio Claro
MT;;7;5105101;Juara
MT;;;5106273;Novo Horizonte do Norte
MT;;;5106802;Porto dos Gaúchos
MT;;;5107941;Taboporã
MT;;8;5101407;Aripuranã
MT;;;5101902;Brasnorte
MT;;;5102850;Castanheira
MT;;;5103254;Colniza
MT;;;5103379;Contriguaçu
MT;;;5105150;Juína
MT;;;5105176;Juruena
MT;;9;5104104;Guarantã do Norte
MT;;;5105580;Marcelândia
MT;;;5105606;Matupá
MT;;;5108808;Nova Guarita
MT;;;5106265;Novo Mundo
MT;;;5106422;Peixoto de Azevedo
MT;;;5108055;Terra Nova do Norte
MT;;10;5102686;Campos de Júlio
MT;;;5103304;Comodoro
MT;;;5103361;Conquista D'Oeste
MT;;;5103809;Figueirópolis D'Oeste
MT;;;5105002;Jauru
MT;;;5106182;Nova Lacerda
MT;;;5106752;Pontes e Lacerda
MT;;;5107198;Ribeirãozinho
MT;;;5108352;Vale de São Domingos
MT;;;5105507;Vila Bela da Santíssima Trindade
MT;;11;5102678;Campo Verde
MT;;;5103858;Gaúcha do Norte
MT;;;5106307;Paranatinga
MT;;;5107008;Poxoréo
MT;;;5107040;Primavera do Leste
MT;;;5107792;Santo Antônio do Leste
MT;;12;5100300;Alto Araguaia
MT;;;5100409;Alto Garças
MT;;;5100607;Alto Taquari
MT;;;5101209;Araguainha
MT;;;5103601;Dom Aquino
MT;;;5104203;Guirantinga
MT;;;5104609;Itiquira
MT;;;5104807;Jaciara
MT;;;5105200;Juscimeira
MT;;;5106372;Pedra Preta
MT;;;5107602;Rondonópolis
MT;;;5107297;São José do Povo
MT;;;5107404;São Pedro da Cipa
MT;;;5108105;Tesouro
MT;;13;5100359;Alto Boa Vista
MT;;;5101852;Bom Jesus do Araguaia
MT;;;5105309;Luciara
MT;;;5106315;Novo Santo Antônio
MT;;;5107859;São Félix do Araguaia
MT;;;5107883;Serra Nova Dourada
MT;;14;5103056;Cláudia
MT;;;5103205;Colíder
MT;;;5103700;Feliz Natal
MT;;;5104526;Ipiranga do Norte
MT;;;5104542;Itanhangá
MT;;;5104559;Itaúba
MT;;;5105259;Lucas do Rio Verde
MT;;;5106190;Nova Santra Helena
MT;;;5106240;Nova Ubiratã
MT;;;5107248;Santa Carmem
MT;;;5107909;Sinop
MT;;;5107925;Sorriso
MT;;;5108006;Tapurah
MT;;;5108303;União do Sul
MT;;;5108501;Vera
MT;;15;5101704;Barra do Bugres
MT;;;5102637;Campo Novo do Parecis
MT;;;5103452;Denise
MT;;;5106232;Nova Olimpia
MT;;;5106851;Porto Estrela
MT;;;5107875;Sapezal
MT;;;5107958;Tangará da Serra
MT;2;1;5100102;Acorizal
MT;;;5100508;Alto Paraguai
MT;;;5101605;Barão de Mergaço
MT;;;5103007;Chapada dos Guimaraes
MT;;;5103403;Cuiabá
MT;;;5103502;Diamantino
MT;;;5104906;Jangada
MT;;;5105903;Nobres
MT;;;5106109;Nossa Senhora do Livramento
MT;;;5108907;Nova Maringá
MT;;;5106505;Poconé
MT;;;5107305;São José do Rio Claro
MT;;;5107701;Rosário do Oeste
MT;;;5107800;Santo Antônio do levenger
MT;;;5108402;Várzea Grande
MT;;2;5101308;Arenópolis
MT;;;5101407;Aripuranã
MT;;;5101803;Barra do Garças
MT;;;5101902;Brasnorte
MT;;;5102637;Campo Novo do Parecis
MT;;;5102850;Castanheira
MT;;;5103254;Colniza
MT;;;5103379;Contriguaçu
MT;;;5103452;Denise
MT;;;5105150;Juína
MT;;;5105176;Juruena
MT;;;5106000;Nortelândia
MT;;;5108857;Nova Marilândia
MT;;;5106232;Nova Olimpia
MT;;;5106851;Porto Estrela
MT;;;5107263;Santo Afonso
MT;;;5107958;Tangará da Serra
MT;;3;5103056;Cláudia
MT;;;5103700;Feliz Natal
MT;;;5104526;Ipiranga do Norte
MT;;;5104542;Itanhangá
MT;;;5105101;Juara
MT;;;5105259;Lucas do Rio Verde
MT;;;5106224;Nova Mutum
MT;;;5106240;Nova Ubiratã
MT;;;5106273;Novo Horizonte do Norte
MT;;;5106802;Porto dos Gaúchos
MT;;;5107248;Santa Carmem
MT;;;5107768;Santa Rita do Trivelato
MT;;;5107909;Sinop
MT;;;5107925;Sorriso
MT;;;5107941;Taboporã
MT;;;5108006;Tapurah
MT;;;5108303;União do Sul
MT;;4;5100250;Alta floresta
MT;;;5100805;Apiacás
MT;;;5102793;Carlinda
MT;;;5103205;Colíder
MT;;;5104104;Guarantã do Norte
MT;;;5104559;Itaúba
MT;;;5105580;Marcelândia
MT;;;5105606;Matupá
MT;;;5106158;Nova Bandeirantes
MT;;;5106190;Nova Santra Helena
MT;;;5106216;Nova Canãa do Norte
MT;;;5106265;Novo Mundo
MT;;;5106307;Paranatinga
MT;;;5106422;Peixoto de Azevedo
MT;;;5108055;Terra Nova do Norte
MT;;;5108956;Nova Monte Verde
MT;;5;5100409;Alto Garças
MT;;;5100607;Alto Taquari
MT;;;5101209;Araguainha
MT;;;5102678;Campo Verde
MT;;;5103601;Dom Aquino
MT;;;5104203;Guirantinga
MT;;;5104609;Itiquira
MT;;;5105200;Juscimeira
MT;;;5106208;Nova Brasilândia
MT;;;5106307;Paranatinga
MT;;;5106372;Pedra Preta
MT;;;5106455;Planalto da Serra
MT;;;5107008;Poxoréo
MT;;;5107040;Primavera do Leste
MT;;;5107297;São José do Povo
MT;;;5107404;São Pedro da Cipa
MT;;;5107602;Rondonópolis
MT;;;5107792;Santo Antônio do Leste
MT;;;5108105;Tesouro
MT;;6;5100201;Água Branca
MT;;;5101001;Araguaiana
MT;;;5101803;Barra do Garças
MT;;;5102603;Campinópolis
MT;;;5102702;Canarana
MT;;;5103106;Cocalinho
MT;;;5103858;Gaúcha do Norte
MT;;;5103908;General Carneiro
MT;;;5106174;Nova Nazaré
MT;;;5106257;Nova São Joaquim
MT;;;5106281;Nova Xavantina
MT;;;5106653;Pontal do Araguaia
MT;;;5106703;Ponte Branca
MT;;;5107065;Querência
MT;;;5107180;Ribeirão Cascalheira
MT;;;5107198;Ribeirãozinho 
MT;;;5108204;Torixoréu
MT;;7;5100359;Alto Boa Vista
MT;;;5101852;Bom Jesus do Araguaia
MT;;;5102694;Canabrava do Norte
MT;;;5103353;Confresa
MT;;;5105309;Luciara
MT;;;5106315;Novo Santo Antônio
MT;;;5106778;Porto Alegre do Norte
MT;;;5107743;Santa Cruz do Xingu
MT;;;5107776;Santa Terezinha
MT;;;5107859;São Félix do Araguaia
MT;;;5107354;São José do Xingu
MT;;;5107883;Serra Nova Dourada
MT;;;5108600;Vila Rica
MT;;8;5101258;Araputanga
MT;;;5102504;Cáceres
MT;;;5102686;Campos de Júlio
MT;;;5103304;Comodoro
MT;;;5103361;Conquista D'Oeste
MT;;;5103437;Curvelândia
MT;;;5103809;Figueirópolis D'Oeste
MT;;;5103957;Glória D'Oeste
MT;;;5104500;Indiavaí
MT;;;5105002;Jauru
MT;;;5105234;Lambari D'Oeste
MT;;;5105622;Mirassol D'Oeste
MT;;;5106182;Nova Lacerda
MT;;;5106752;Pontes e Lacerda
MT;;;5106828;Porto Esperidião
MT;;;5107156;Reserva do Cabaçal
MT;;;5107206;Rio Branco
MT;;;5107578;Rondolândia
MT;;;5107750;Salto do Céu
MT;;;5107107;São José dos Quatro Marcos 
MT;;;5107875;Sapezal
MT;;;5108352;Vale de São Domingos
MT;;;5105507;Vila Bela da Santíssima Trindade
;3;1;5100508;Alto Paraguai
MT;;;5101308;Arenápolis
MT;;;5101704;Barra do Bugres
MT;;;5102637;Campo Novo do Parecís
MT;;;5103452;Denise
MT;;;5103502;Diamantino
MT;;;5106000;Nortelândia
MT;;;5108857;Nova Marilândia
MT;;;5108907;Nova Maringá
MT;;;5106232;Nova Olímpia
MT;;;5106851;Porto Estrela
MT;;;5107263;Santo Afonso
MT;;;5107305;São José do Rio Claro
MT;;;5107875;Sapezal
MT;;;5107958;Tangará da Serra
MT;;2;5103056;Cláudia
MT;;;5103700;Feliz Natal
MT;;;5104526;Ipiranga do Norte
MT;;;5105259;Lucas do Rio Verde
MT;;;5106224;Nova Mutum
MT;;;5106240;Nova Ubiratã
MT;;;5107248;Santa Carmem
MT;;;5107768;Santa Rita do Trivelato
MT;;;5107909;Sinop
MT;;;5107925;Sorriso
MT;;;5108006;Tapurah
MT;;;5108303;União do Sul
MT;;;5108501;Vera
MT;;3;5100359;Alto Boa Vista
MT;;;5101852;Bom Jesus do Araguaia
MT;;;5105309;Luciara
MT;;;5106315;Novo Santo Antônio
MT;;;5107859;São Félix do Araguaia
MT;;;5107883;Serra Nova Dourada
MT;;4;5101258;Araputanga
MT;;;5102504;Cáceres
MT;;;5103437;Curvelândia
MT;;;5103957;Glória D´Oeste
MT;;;5104500;Indiavaí
MT;;;5105234;Lambari D´Oeste
MT;;;5105622;Mirassol D´Oeste
MT;;;5106828;Porto Esperidião
MT;;;5107156;Reserva do Cabaçal
MT;;;5107206;Rio Branco
MT;;;5107750;Salto do Céu
MT;;;5107107;São José dos Q. Marcos
MT;;5;5100250;Água Boa
MT;;;5102603;Campinápolis
MT;;;5102702;Canarana
MT;;;5103106;Cocalinho
MT;;;5103858;Gaúcha do Norte
MT;;;5106174;Nova Nazaré
MT;;;5106257;Nova Xavantina
MT;;;5107065;Querência
MT;;;5107180;Ribeirão Cascalheira
MT;;6;5100300;Alto Araguaia
MT;;;5100409;Alto Garças
MT;;;5100607;Alto Taquari
MT;;;5101209;Araguainha
MT;;;5104203;Guiratinga
MT;;;5104609;Itiquira
MT;;;5107297;São José do Povo
MT;;;5108105;Tesouro
MT;;7;5102694;Canabrava do Norte
MT;;;5103353;Confresa
MT;;;5106778;Porto Alegre do Norte
MT;;;5107743;Santa Cruz do Xingu
MT;;;5107776;Santa Terezinha
MT;;;5107354;São José do Xingu
MT;;;5108600;Vila Rica
MT;;8;5103205;Colíder
MT;;;5104104;Guarantã do Norte
MT;;;5104559;Itaúba
MT;;;5105580;Marcelândia
MT;;;5105606;Matupá
MT;;;5106216;Nova Canaã do Norte
MT;;;5108808;Nova Guarita
MT;;;5106190;Nova Santa Helena
MT;;;5106265;Novo Mundo
MT;;;5106422;Peixoto de Azevedo
MT;;;5108055;Terra Nova do Norte
MT;;9;5101001;Araguaiana
MT;;;5101803;Barra do Garças
MT;;;5103908;General Carneiro
MT;;;5106281;Novo São Joaquim
MT;;;5106653;Pontal do Araguaia
MT;;;5106703;Ponte Branca
MT;;;5107198;Ribeirãozinho
MT;;;5108204;Torixoréo
MT;;10;5102678;Campo Verde
MT;;;5103601;Dom Aquino
MT;;;5104807;Jaciara
MT;;;5105200;Juscimeira
MT;;;5106307;Paranatinga
MT;;;5106372;Pedra Preta
MT;;;5107008;Poxoréo
MT;;;5107040;Primavera do Leste
MT;;;5107602;Rondonópolis
MT;;;5107792;Santo Antonio do Leste
MT;;11;5100250;Alta Floresta
MT;;;5100805;Apiacás
MT;;;5102793;Carlinda
MT;;;5106158;Nova Bandeirantes
MT;;;5108956;Nova Monte Verde
MT;;;5106299;Paranaíta
MT;;12;5101407;Aripuanã
MT;;;5102850;Castanheira
MT;;;5103254;Colniza
MT;;;5103379;Cotriguaçú
MT;;;5105150;juína
MT;;;5105176;Juruena
MT;;13;5102686;Campos de Júlio
MT;;;5103304;Comodoro
MT;;;5103361;Conquista D´Oeste
MT;;;5103809;Figueirópolis D´Oeste
MT;;;5105002;Jauru
MT;;;5106182;Nova Lacerda
MT;;;5106752;Pontes e Lacerda
MT;;;5108352;Vale do São Domingos
MT;;;5105507;Vila Bela da Ss. Trindade
MT;;14;5101902;Brasnorte
MT;;;5104542;Itanhangá
MT;;;5105101;Juara
MT;;;5106273;Novo Horizonte do Norte
MT;;;5106802;Porto dos Gaúchos
MT;;;5107941;Tabaporã
MT;;15;5100102;Acorizal
MT;;;5101605;Barão de Melgaço
MT;;;5103007;Chapada dos Guimarães
MT;;;5103403;Cuiabá
MT;;;5104906;Jangada
MT;;;5106109;Nª Srª do Livramento
MT;;;5105903;Nobres
MT;;;5100208;Nova Brasilândia
MT;;;5106455;Planalto da Serra
MT;;;5106505;Poconé
MT;;;5107701;Rosário Oeste
MT;;;5107800;Stº Antônio do Leverger
MT;;;5108402;Várzea Grande
;4;1;5100250;Alta floresta
MT;;;5100805;Apiacás
MT;;;5102793;Carlinda
MT;;;5106158;Nova Bandeirantes
MT;;;5106216;Nova Canãa do Norte
MT;;;5106299;Paranaita
MT;;;5108956;Nova Monte Verde
MT;;2;5100102;Acorizal
MT;;;5101605;Barão de Mergaço
MT;;;5103007;Chapada dos Guimaraes
MT;;;5103403;Cuiabá
MT;;;5104906;Jangada
MT;;;5106109;Nossa Senhora do Livramento
MT;;;5106208;Nova Brasilândia
MT;;;5106307;Paranatinga
MT;;;5106455;Planalto da Serra
MT;;;5106505;Poconé
MT;;;5107800;Santo Antônio do levenger
MT;;3;5100359;Alto Boa Vista
MT;;;5101852;Bom Jesus do Araguaia
MT;;;5102694;Canabrava do Norte
MT;;;5103353;Confresa
MT;;;5105309;Luciara
MT;;;5106315;Novo Santo Antônio
MT;;;5106778;Porto Alegre do Norte
MT;;;5107750;Santa Cruz do Xingu
MT;;;5107776;Santa Teresinha
MT;;;5107859;São Félix do Araguaia
MT;;;5107354;São José do Xingu
MT;;;5107883;Serra Nova Dourada
MT;;;5108600;Vila Rica
MT;;4;5100508;Alto Paraguai
MT;;;5101308;Arenápolis
MT;;;5103502;Diamantino
MT;;;5105903;Nobres
MT;;;5106000;Nortelândia
MT;;;5108907;Nova Maringá
MT;;;5107701;Rosário Oeste
MT;;;5107305;São José do Rio Claro
MT;;5;5101001;Araguaiana
MT;;;5101803;Barra do Garças
MT;;;5102603;Campinápolis
MT;;;5103908;General Carneiro
MT;;;5106281;Nova São Joaquim
MT;;;5106257;Nova Xavantina
MT;;;5106653;Pontal do Araguaia
MT;;;5106703;Ponte Branca
MT;;;5107198;Ribeirãozinho
MT;;;5108204;Torixorel
MT;;6;5100201;Agua boa
MT;;;5102702;Canarana
MT;;;5103106;Cocalinho
MT;;;5103858;Gaúcha do Norte
MT;;;5107065;Querência
MT;;;5106174;Nova Nazaré
MT;;;5107180;Ribeirão Cascalheira
MT;;7;5101704;Barra do Bugres
MT;;;5101902;Brasnorte
MT;;;5102637;Campo Novo do Parecis
MT;;;5103452;Denise
MT;;;5108857;Nova Marilândia
MT;;;5106232;Nova Olimpia
MT;;;5106851;Porto Estrela
MT;;;5107263;Santo Afonso
MT;;;5107875;Sapezal
MT;;;5107958;Tangará da Serra
MT;;8;5101407;Aripuanã
MT;;;5103254;Colniza
MT;;;5103379;Cotriguaçú
MT;;;5105176;Juruena
MT;;;5102850;Castanheira
MT;;;5105150;Juína
MT;;9;5101258;Araputanga
MT;;;5102504;Cáceres
MT;;;5102686;Campos de Júlio
MT;;;5103304;Comodoro
MT;;;5103361;Conquista D'Oeste
MT;;;5103437;Curvelândia
MT;;;5103809;Figueirópolis D´Oeste
MT;;;5103957;Glória D'Oeste
MT;;;5104500;Indiavaí
MT;;;5105002;Jauru
MT;;;5105234;Lambari D'Oeste
MT;;;5105622;Mirassol D´Oeste
MT;;;5106182;Nova Lacerda
MT;;;5106752;Pontes e Lacerda
MT;;;5106828;Porto Esperidião
MT;;;5107156;Reserva do Cabaçal
MT;;;5107206;Rio Branco
MT;;;5107578;Rondolândia
MT;;;5107750;Salto do Céu
MT;;;5107107;São José dos Quatro Marcos 
MT;;;5108303;Vale São Domingos
MT;;;5105507;Vila Bela da Santíssima Trindade
MT;;10;5105101;Juara
MT;;;5106273;Novo Horizonte do Norte
MT;;;5106802;Porto dos Gaúchos
MT;;;5107941;Taboporã
MT;;11;5103205;Colíder
MT;;;5104104;Guarantã do Norte
MT;;;5105606;Matupá
MT;;;5108808;Nova Guarita
MT;;;5106265;Novo Mundo 
MT;;;5106422;Peixoto de Azevedo
MT;;;5108055;Terra Nova do Norte
MT;;12;5100300;Alto Araguaia
MT;;;5100409;Alto Garças
MT;;;5100607;Alto Taquari
MT;;;5101209;Araguainha
MT;;;5102678;Campo Verde
MT;;;5103601;Dom Aquino
MT;;;5104203;Guirantinga
MT;;;5104609;Itiquira
MT;;;5104807;Jaciara
MT;;;5105200;Juscimeira
MT;;;5106372;Pedra Preta
MT;;;5107008;Poxoréo
MT;;;5107297;São José do Povo
MT;;;5107602;Rondonópolis
MT;;;5107792;Santo Antônio do Leste
MT;;13;5103056;Cláudia
MT;;;5103700;Feliz Natal
MT;;;5104559;Itaúba
MT;;;5105259;Lucas do Rio Verde
MT;;;5105580;Marcelândia
MT;;;5106224;Nova Mutum
MT;;;5106190;Nova Santra Helena
MT;;;5106240;Nova Ubiratã
MT;;;5107248;Santa Carmem
MT;;;5107768;Santa Rita do Trivelato
MT;;;5107909;Sinop
MT;;;5107925;Sorriso
MT;;;5108006;Tapurah
MT;;;5108303;União do Sul
MT;;;5108501;Vera
;5;1;5100359;Alto  Boa Vista
MT;;;5101852;Bom Jesus Araguaia
MT;;;5102694;Canabrava do Norte
MT;;;5103353;Confresa
MT;;;5105309;Luciara
MT;;;5106778;Porto Alegre do Norte
MT;;;5107743;Santa Cruz do Norte
MT;;;5107354;Santa Cruz do Xingú
MT;;;5107776;Santa Terezinha
MT;;2;5101308;Arenápolis
MT;;;5101407;Aripuanã
MT;;;5101704;Barra dos Bugres
MT;;;5101902;Brasnorte
MT;;;5102637;Campo Novo dos Parecis
MT;;;5102850;Castanheira
MT;;;5103254;Colniza
MT;;;5103379;Cotriguaçu
MT;;;5103452;Denise
MT;;;5105150;Juína
MT;;;5105176;Juruena
MT;;;5108857;Nova Marilândia
MT;;;5106232;Nova Olímpia
MT;;3;5103056;Cláudia
MT;;;5103700;Feliz Natal
MT;;;5104526;Ipiranga do Norte
MT;;;5104542;Itanhagá
MT;;;5105101;Juára
MT;;;5105259;Lucas do Rio Verde
MT;;;5106224;Nova Mutum
MT;;;5106240;Nova Ubiratã
MT;;;5106273;Novo Horizonte do Norte
MT;;;5106802;Porto dos Gaúchos
MT;;;5107248;Santa Carmem
MT;;;5107768;Santa Rita do Trivelado
MT;;;5107909;Sinop
MT;;;5107925;Sorriso
MT;;;5107941;Tabaporã
MT;;;5108006;Tapurah
MT;;;5108303;União do sul
MT;;;5108402;Vera
MT;;4;5100250;Alta floresta
MT;;;5100805;Apíacas
MT;;;5102793;Carlinda
MT;;;5103205;Colíder
MT;;;5104104;Guarantã do Norte
MT;;;5104559;Itaúba
MT;;;5105580;Marcelândia
MT;;;5106158;Nova Bandeirantes
MT;;;5105606;Matupá
MT;;;5106216;Nova Canaã do norte
MT;;;5108808;Nova Guarita
MT;;;5108956;Nova monte verde
MT;;;5106190;Nova Santa Helena
MT;;;5106265;Novo Mundo
MT;;;5106299;Paranaíta
MT;;;5106422;Peixoto de Azevedo
MT;;5;5101258;Araputanga
MT;;;5102504;Cáceres
MT;;;5102678;Campos de Julio
MT;;;5103304;Comodoro
MT;;;5103361;Conquista do Oeste
MT;;;5103437;Curvelândia
MT;;;5103809;Figueirópolis do Oeste
MT;;;5103957;Glória do Oeste
MT;;;5104500;Indiavaí
MT;;;5105002;Jaurú
MT;;;5105234;Lambari do Oeste
MT;;;5105622;Mirassol do Oeste
MT;;;5106182;Nova Lacerda
MT;;;5106752;Pontes e Lacerda
MT;;;5106828;Porto Esperidião
MT;;;5107156;Reserva do Cabaçal
MT;;;5107578;Rondolândia
MT;;;5107107;São Jose dos quatros marcos
MT;;;5107750;Salto do céu
MT;;;5107875;Sapezal
MT;;6;5100300;Alto Araguaia
MT;;;5100409;Alto Garças
MT;;;5100607;Alto taquari
MT;;;5102678;Campo verde
MT;;;5103601;Dom Aquino
MT;;;5104203;Guiratinga
MT;;;5104609;Itiquira
MT;;;5104807;Jaciara
MT;;;5105200;Juscimeira
MT;;;5106315;Novo Santo Antonio
MT;;;5106307;Paranatinga
MT;;;5106372;Pedra preta
MT;;;5106455;Planalto da Serra
MT;;;5106703;Ponte Branca
MT;;;5107008;Poxoréo
MT;;;5107602;Rondonópolis
MT;;;5107297;São José do Povo
MT;;;5108105;Tesouro
MT;;;5107040;Primavera do Leste
MT;;7;5103403;Cuiabá
MT;;;5100102;Acorizal
MT;;;5100508;Alto Paraguai
MT;;;5101605;Barão de Melgaço
MT;;;5103007;Chapada dos Guimarães
MT;;;5103502;Diamantino
MT;;;5104906;Jangada
MT;;;5106109;Nossa Senhora do Livramento
MT;;;5105903;Nobres
MT;;;5106208;Nova Brasilândia
MT;;;5108907;Nova Maringá
